;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
32;0x;a;4c;0;0;0;a;14;34;d;0;67;26;33;0;3c;f6;ff;ff;16;f9;ff;ff;f4;e;0;0;da;27;0;0;fd;3;0;34;0;31;38;41;64
33;0x;a;4b;0;0;0;a;14;34;d;0;67;26;33;0;3c;f6;ff;ff;16;f9;ff;ff;f4;e;0;0;2c;28;0;0;ff;3;0;34;0;2e;38;41;64
34;0x;a;4b;0;0;0;a;14;34;d;0;67;26;33;0;3c;f6;ff;ff;16;f9;ff;ff;f4;e;0;0;2c;28;0;0;ff;3;0;34;0;2e;38;41;64
35;0x;a;4b;0;0;0;a;14;34;d;0;67;26;33;0;3c;f6;ff;ff;16;f9;ff;ff;f4;e;0;0;2c;28;0;0;ff;3;0;34;0;2e;38;41;64
36;0x;a;4b;0;0;0;a;14;34;d;0;67;26;33;0;3c;f6;ff;ff;16;f9;ff;ff;f4;e;0;0;2c;28;0;0;ff;3;0;34;0;2e;38;41;64
37;0x;a;4b;0;0;0;a;14;34;d;0;67;26;33;0;3c;f6;ff;ff;16;f9;ff;ff;f4;e;0;0;2c;28;0;0;ff;3;0;34;0;2e;38;41;64
38;0x;a;4a;0;0;0;a;f7;f6;33;0;a6;10;33;0;3c;f6;ff;ff;16;f9;ff;ff;f4;e;0;0;8f;28;0;0;fd;3;0;34;0;2b;38;41;64
39;0x;a;49;0;0;0;a;1f;f7;33;0;cd;10;33;0;3c;f6;ff;ff;16;f9;ff;ff;13;f;0;0;a;27;0;0;fe;3;0;34;0;25;38;41;64
40;0x;a;49;0;0;0;a;1f;f7;33;0;cd;10;33;0;3c;f6;ff;ff;16;f9;ff;ff;13;f;0;0;a;27;0;0;fe;3;0;34;0;25;38;41;64
41;0x;a;49;0;0;0;a;1f;f7;33;0;cd;10;33;0;3c;f6;ff;ff;16;f9;ff;ff;13;f;0;0;a;27;0;0;fe;3;0;34;0;25;38;41;64
42;0x;a;49;0;0;0;a;1f;f7;33;0;cd;10;33;0;3c;f6;ff;ff;16;f9;ff;ff;13;f;0;0;a;27;0;0;fe;3;0;34;0;25;38;41;64
43;0x;a;48;0;0;0;a;9c;f8;33;0;44;12;33;0;3c;f6;ff;ff;20;f9;ff;ff;52;f;0;0;dd;26;0;0;fd;3;0;34;0;22;38;41;64
44;0x;a;48;0;0;0;a;9c;f8;33;0;44;12;33;0;3c;f6;ff;ff;20;f9;ff;ff;52;f;0;0;dd;26;0;0;fd;3;0;34;0;22;38;41;64
45;0x;a;48;0;0;0;a;9c;f8;33;0;44;12;33;0;3c;f6;ff;ff;20;f9;ff;ff;52;f;0;0;dd;26;0;0;fd;3;0;34;0;22;38;41;64
46;0x;a;47;0;0;0;a;c4;f3;33;0;80;33;d;0;3c;f6;ff;ff;20;f9;ff;ff;52;f;0;0;af;26;0;0;fd;3;0;34;0;1f;38;41;64
47;0x;a;46;0;0;0;a;d0;ec;33;0;a9;6;33;0;3c;f6;ff;ff;20;f9;ff;ff;71;f;0;0;af;26;0;0;fe;3;0;34;0;1c;38;41;64
48;0x;a;46;0;0;0;a;d0;ec;33;0;a9;6;33;0;3c;f6;ff;ff;20;f9;ff;ff;71;f;0;0;af;26;0;0;fe;3;0;34;0;1c;38;41;64
49;0x;a;46;0;0;0;a;d0;ec;33;0;a9;6;33;0;3c;f6;ff;ff;20;f9;ff;ff;71;f;0;0;af;26;0;0;fe;3;0;34;0;1c;38;41;64
50;0x;a;46;0;0;0;a;d0;ec;33;0;a9;6;33;0;3c;f6;ff;ff;20;f9;ff;ff;71;f;0;0;af;26;0;0;fe;3;0;34;0;1c;38;41;64
51;0x;a;45;0;0;0;a;5a;e0;33;0;67;fa;32;0;3c;f6;ff;ff;20;f9;ff;ff;af;f;0;0;8b;26;0;0;fe;3;0;34;0;19;38;41;64
52;0x;a;45;0;0;0;a;5a;e0;33;0;67;fa;32;0;3c;f6;ff;ff;20;f9;ff;ff;af;f;0;0;8b;26;0;0;fe;3;0;34;0;19;38;41;64
53;0x;a;45;0;0;0;a;5a;e0;33;0;67;fa;32;0;3c;f6;ff;ff;20;f9;ff;ff;af;f;0;0;8b;26;0;0;fe;3;0;34;0;19;38;41;64
54;0x;a;45;0;0;0;a;5a;e0;33;0;67;fa;32;0;3c;f6;ff;ff;20;f9;ff;ff;af;f;0;0;8b;26;0;0;fe;3;0;34;0;19;38;41;64
55;0x;a;44;0;0;0;a;12;e2;33;0;18;fc;32;0;3c;f6;ff;ff;20;f9;ff;ff;71;f;0;0;27;26;0;0;fe;3;0;34;0;16;38;41;64
56;0x;a;44;0;0;0;a;12;e2;33;0;18;fc;32;0;3c;f6;ff;ff;20;f9;ff;ff;71;f;0;0;27;26;0;0;fe;3;0;34;0;16;38;41;64
57;0x;a;44;0;0;0;a;12;e2;33;0;18;fc;32;0;3c;f6;ff;ff;20;f9;ff;ff;71;f;0;0;27;26;0;0;fe;3;0;34;0;16;38;41;64
58;0x;a;44;0;0;0;a;12;e2;33;0;18;fc;32;0;3c;f6;ff;ff;20;f9;ff;ff;71;f;0;0;27;26;0;0;fe;3;0;34;0;16;38;41;64
59;0x;a;44;0;0;0;a;12;e2;33;0;18;fc;32;0;3c;f6;ff;ff;20;f9;ff;ff;71;f;0;0;27;26;0;0;fe;3;0;34;0;16;38;41;64
60;0x;a;44;0;0;0;a;12;e2;33;0;18;fc;32;0;3c;f6;ff;ff;20;f9;ff;ff;71;f;0;0;27;26;0;0;fe;3;0;34;0;16;38;41;64
61;0x;a;44;0;0;0;a;12;e2;33;0;18;fc;32;0;3c;f6;ff;ff;20;f9;ff;ff;71;f;0;0;27;26;0;0;fe;3;0;34;0;16;38;41;64
62;0x;a;43;0;0;0;a;e7;d4;33;0;23;ef;32;0;3c;f6;ff;ff;20;f9;ff;ff;af;f;0;0;ba;25;0;0;ff;3;0;34;0;13;38;41;64
63;0x;a;42;0;0;0;a;52;cf;33;0;a6;e9;32;0;3c;f6;ff;ff;20;f9;ff;ff;90;f;0;0;8e;25;0;0;fe;3;0;34;0;10;38;41;64
64;0x;a;41;0;0;0;a;64;cc;33;0;c4;e6;32;0;3c;f6;ff;ff;20;f9;ff;ff;cf;f;0;0;57;25;0;0;ff;3;0;34;0;38;d;41;64
65;0x;a;40;0;0;0;a;2e;c1;33;0;bd;db;32;0;3c;f6;ff;ff;20;f9;ff;ff;cf;f;0;0;f3;24;0;0;fd;3;0;34;0;a;38;41;64
66;0x;a;3f;0;0;0;a;0;c7;33;0;77;e1;32;0;3c;f6;ff;ff;20;f9;ff;ff;cf;f;0;0;d8;24;0;0;fd;3;0;34;0;7;38;41;64
67;0x;a;3e;0;0;0;a;2;b1;33;0;d4;cb;32;0;3c;f6;ff;ff;20;f9;ff;ff;ee;f;0;0;cf;24;0;0;fd;3;0;34;0;4;38;41;64
